layer,thickness_um,sample_x,min_intervals,interval_counts,normal_dy_max
barrier,0.02,0.75;1.25;1.75;3.0;5.0;10.25;14.25,3,3;6;3;3;3;3;6,0.01
p-,0.05,2.1;3.0;3.9,4,8;4;8,0.012500000000000004
p+,0.04999999999999999,2.1;3.0;3.9,4,8;4;8,0.012499999999999997
