milestone,requested_time_s,R096_actual_time_s,R096_Id,R096_ImpactMax,R096_HoleMax,R096_Tmax,R096_Tmin,R096_JouleMax,R096_HeatMax,R102_actual_time_s,R102_Id,R102_ImpactMax,R102_HoleMax,R102_Tmax,R102_Tmin,R102_JouleMax,R102_HeatMax,R103_actual_time_s,R103_Id,R103_ImpactMax,R103_HoleMax,R103_Tmax,R103_Tmin,R103_JouleMax,R103_HeatMax
100ps,1e-10,1e-10,0.0004383505145,6.005535322e+28,2.220605747e+19,325.9896072,299.9994803,2012459680000.0,2012309171000.0,1e-10,0.0004384517163,6.078347422e+28,2.219769331e+19,326.1171068,299.9910827,2028197550000.0,2028065741000.0,1e-10,0.0004380503403,5.987684557e+28,2.220534117e+19,326.0049541,299.9994803,2015836629000.0,2015689981000.0
400ps,4e-10,4e-10,0.0002793758119,3.138951205e+28,8.91857786e+19,374.4694005,299.9998096,2344092279000.0,2343902945000.0,4e-10,0.0002757719625,2.850953079e+28,9.479856774e+19,374.1447355,299.9997459,2346110245000.0,2345908643000.0,4e-10,0.0002787458146,3.122036634e+28,8.907257377e+19,374.8054957,299.9998097,2363878248000.0,2363701660000.0
1ns,1e-09,1e-09,2.785278635e-06,3.589689338e+23,9.731633649e+19,366.8318697,299.999929,53326677520.0,53555900720.0,1e-09,2.761503519e-06,2.772434457e+23,9.877899273e+19,366.0462283,299.9999062,54275180250.0,53827587380.0,1e-09,2.802454309e-06,3.814400665e+23,9.728550869e+19,367.0325096,299.9999289,53332660650.0,53563483360.0
10ns,1e-08,1e-08,9.277464891e-06,6.551602996e+26,4.192445628e+19,330.8322528,300.0,211998168500.0,211975464200.0,1e-08,9.038027795e-06,6.404662907e+26,4.177602143e+19,330.2644725,300.0,206621629400.0,206599701000.0,1e-08,9.26226667e-06,6.595110116e+26,4.190912065e+19,330.8351618,300.0,212180135300.0,212159311200.0
100ns,1e-07,1e-07,2.251180402e-06,1.174447516e+26,1.73619065e+19,332.3224853,300.0000795,51118979120.0,51112358940.0,1e-07,2.248731165e-06,1.180183399e+26,1.736678127e+19,332.0476683,300.000079,51103309920.0,51096762590.0,1e-07,2.243476592e-06,1.183099592e+26,1.734937263e+19,332.2490163,300.0000794,51071556990.0,51065481220.0
500ns,5e-07,5e-07,6.572656656e-07,3.108374192e+25,1.161361597e+19,319.1241633,300.0110941,14913356710.0,14911562290.0,5e-07,6.596748383e-07,3.134031326e+25,1.161928923e+19,319.0164735,300.0109993,14975861510.0,14974072190.0,5e-07,6.544209087e-07,3.116254853e+25,1.16094769e+19,319.0775605,300.011078,14867835120.0,14866124410.0
1us,1e-06,1e-06,5.557138903e-07,2.462403031e+25,1.114130548e+19,315.0676498,300.0703342,12517210680.0,12515652380.0,1e-06,5.580445898e-07,2.483064664e+25,1.11458186e+19,315.0381444,300.0699215,12575706060.0,12574149370.0,1e-06,5.520474246e-07,2.4624411e+25,1.113729141e+19,315.0149624,300.0702024,12449168180.0,12447677530.0
10us,1e-05,1e-05,3.862836529e-07,1.22761284e+25,1.012707896e+19,322.3700538,308.0113123,8380727068.0,8379323425.0,1e-05,3.887520979e-07,1.23886277e+25,1.013375591e+19,322.457026,308.0206619,8436771971.0,8435361431.0,1e-05,3.692181272e-07,1.190965536e+25,1.012821035e+19,321.813729,307.9094704,8030341780.0,8029078938.0
100us,0.0001,0.0001,2.190005015e-07,4.917798909e+24,8.554309989e+18,378.6807832,370.602605,4534864283.0,4534435298.0,0.0001,2.200918023e-07,4.950824554e+24,8.554507589e+18,379.1230444,371.0022503,4557713955.0,4557281856.0,0.0001,1.766671972e-07,4.193493511e+24,8.680888301e+18,369.0998449,362.5383894,3689294955.0,3689019201.0
