run,milestone,profile,eg_max,eg_min,e- mobility_max,e- mobility_min,lattice temperature_max,lattice temperature_min,impact gen rate_max,impact gen rate_min,hole conc_max,hole conc_min,total current density_max,total current density_min,joule heat power_max,joule heat power_min
R096,10ns,hfo2,0.0,0.0,0.0,0.0,328.943106,300.000112,0.0,0.0,0.0,0.0,538.495049,4.95180272e-05,0.0,0.0
R102,10ns,hfo2,0.0,0.0,0.0,0.0,328.423333,300.00013,0.0,0.0,0.0,0.0,539.931334,4.97683311e-05,0.0,0.0
R103,10ns,hfo2,0.0,0.0,0.0,0.0,328.951883,300.000112,0.0,0.0,0.0,0.0,538.693192,4.9504958e-05,0.0,0.0
R096,10ns,interface,4.85,4.85,96.4,8.02104464,330.319104,300.000125,3.54260472e+26,-1.49644311e-12,2.83246269e+18,6.3731849e-54,38362.2314,0.758207949,114422326000.0,0.197549796
R102,10ns,interface,4.84999984,4.81642164,96.4,8.01793182,329.763864,300.000142,3.46248946e+26,-1.49754104e-12,2.78139895e+18,5.77467498e-54,37370.6917,0.752316446,111544200000.0,0.1907216
R103,10ns,interface,4.85,4.85,96.3781269,8.0210159,330.316753,300.000124,3.57892337e+26,-1.53284979e-12,2.83047892e+18,5.97187194e-54,38159.3711,0.75725495,114047810000.0,0.197655062
R096,10ns,uidsub,4.85,4.85,116.280942,7.74277411,314.350935,300.000199,7.41608463e+22,-6.85146259e-13,2.62993923e+16,4.35730573e-50,700.983213,3.06997176,463439026.0,6.47868899e-08
R102,10ns,uidsub,4.84999977,4.83433889,116.280942,7.73994087,314.163278,300.000214,7.53160686e+22,-6.83444771e-13,2.58643556e+16,4.06910144e-50,682.903955,3.05088514,470790661.0,6.24412538e-08
R103,10ns,uidsub,4.85,4.85,116.280942,7.74253357,314.326588,300.000198,7.07557068e+22,-6.85305955e-13,2.62899257e+16,4.28832809e-50,700.221486,3.06486011,464675044.0,6.49179766e-08
R096,10ns,track,4.85,0.0,103.445723,0.0,305.799315,300.000446,9.33914204e+17,-1.61789362e-13,2287909210000000.0,0.0,90878.5216,3.72247992,88380522200.0,-0.0138769079
R102,10ns,track,4.84920027,0.0,103.342733,0.0,305.692767,300.000438,8.67090388e+17,-1.61476992e-13,2278436700000000.0,0.0,88517.7839,3.69993666,85936893600.0,-0.0134932404
R103,10ns,track,4.85,0.0,103.464501,0.0,305.794393,300.000446,9.28143023e+17,-1.61838152e-13,2291396060000000.0,0.0,90653.2918,3.71608444,88149505500.0,-0.0138410238
R096,100us,hfo2,0.0,0.0,0.0,0.0,378.676364,370.763019,0.0,0.0,0.0,0.0,0.00381725781,1.69482577e-10,0.0,0.0
R102,100us,hfo2,0.0,0.0,0.0,0.0,379.118604,371.1636,0.0,0.0,0.0,0.0,0.00386731572,1.71694502e-10,0.0,0.0
R103,100us,hfo2,0.0,0.0,0.0,0.0,369.096349,362.685351,0.0,0.0,0.0,0.0,0.00326700512,6.13201494e-11,0.0,0.0
R096,100us,interface,4.85,4.85,96.4,9.29444019,378.666035,370.765696,2.66662756e+24,0.0,5.09879437e+17,7.168757e-37,958.535425,0.000209125497,2389191180.0,0.00166726452
R102,100us,interface,4.76558609,4.7553039,96.4,9.29218419,379.108183,371.166291,2.68491634e+24,0.0,5.10773636e+17,5.6748817e-37,963.18323,0.000213755398,2401256300.0,0.00168554478
R103,100us,interface,4.85,4.85,68.4005428,8.41279025,369.087854,362.687469,2.23579168e+24,0.0,4.99821177e+17,2.31422336e-39,777.125339,0.00011364263,1944543400.0,0.000782736769
R096,100us,uidsub,4.85,4.85,116.280941,8.89836302,378.186418,370.771701,9.71651331e+19,-3.66168034e-13,1261949270000000.0,4.07648674e-40,19.7794658,2.17827171e-05,3040774.34,0.000404614274
R102,100us,uidsub,4.76557834,4.7559329,116.280941,8.89631478,378.626034,371.172325,9.83115295e+19,-3.65802507e-13,1272372870000000.0,3.26976477e-40,19.8914351,2.23470673e-05,3068255.76,0.000394589319
R103,100us,uidsub,4.85,4.85,116.280941,8.87210561,368.698492,362.692131,7.32622648e+19,-3.64471004e-13,1035685950000000.0,1.25513561e-42,17.3036059,1.86748297e-05,2545984.34,0.000322797033
R096,100us,track,4.85,0.0,66.917076,0.0,376.5234,374.340648,8.79172221e+20,0.0,7080002170000.0,0.0,1591.77247,0.000180390742,2539654620.0,-0.000396833166
R102,100us,track,4.76095451,0.0,66.9112827,0.0,376.952827,374.759719,8.78827435e+20,0.0,7148461740000.0,0.0,1600.34437,0.000180476864,2552466250.0,-0.000398835329
R103,100us,track,4.85,0.0,67.7582517,0.0,367.339421,365.566739,6.47683049e+20,0.0,5942969550000.0,0.0,1291.80489,0.000166228123,2049385320.0,-0.000320348034
