run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t100ns,x2-x18_channel-edge,99,10.9160156,0.009375,channel-drift,-5051.18416,92.3666322,5052.028603737203,5052.95816,1562933040000000.0,5.36135934e+18
RUN096,t100ns,x2-x18_channel-edge,100,10.9091797,0.009375,channel-drift,-5146.34068,106.456271,5147.4416298058295,5148.37433,1589881880000000.0,5.20721323e+18
RUN096,t100ns,x2-x18_channel-edge,101,10.9023438,0.009375,channel-drift,-5261.91637,123.982253,5263.376813789122,5264.31256,1622326900000000.0,5.07827481e+18
RUN096,t100ns,x2-x18_channel-edge,102,10.8955079,0.009375,channel-drift,-5404.47971,145.877677,5406.448116133974,5407.38679,1662021000000000.0,4.97775012e+18
RUN096,t100ns,x2-x18_channel-edge,103,10.8886719,0.009375,channel-drift,-5582.8309,173.349114,5585.521531004906,5586.46301,1711310600000000.0,4.90980394e+18
RUN096,t100ns,x2-x18_channel-edge,104,10.8818359,0.009375,channel-drift,-5808.79734,207.97105,5812.519117803328,5813.46325,1773343180000000.0,4.87986518e+18
RUN096,t100ns,x2-x18_channel-edge,105,10.875,0.009375,channel-drift,-6098.31905,251.801771,6103.515328683269,6104.46197,1852353030000000.0,4.89499603e+18
RUN096,t100ns,x2-x18_channel-edge,106,10.8681641,0.009375,channel-drift,-6472.94655,307.557614,6480.2491252332475,6481.19813,1954053750000000.0,4.9645108e+18
RUN096,t100ns,x2-x18_channel-edge,107,10.8613281,0.009375,channel-drift,-6961.93541,378.854956,6972.236063896405,6973.18731,2086183670000000.0,5.10098269e+18
RUN096,t100ns,x2-x18_channel-edge,108,10.8544922,0.009375,channel-drift,-7605.30928,470.6136,7619.856061958066,7620.8095,2259268300000000.0,5.32236428e+18
RUN096,t100ns,x2-x18_channel-edge,109,10.8476563,0.009375,channel-drift,-9474.88656,-2037.21335,9691.424743467127,9692.34221,2487756340000000.0,2.2152315e+18
RUN096,t100ns,x2-x18_channel-edge,110,10.8203125,0.01875,channel-drift,-499.842615,10.5882523,499.95474880913645,500.947042,141908050000000.0,2.55640773e+17
RUN096,t100ns,x2-x18_channel-edge,111,10.765625,0.01875,channel-drift,-564.543635,11.0657412,564.6520755716024,565.656994,158768817000000.0,1.76772293e+17
RUN096,t100ns,x2-x18_channel-edge,112,10.65625,0.01875,channel-drift,-640.456244,10.4973882,640.542266862702,641.568827,185016325000000.0,9.84139673e+16
RUN096,t100ns,x2-x18_channel-edge,113,10.546875,0.01875,channel-drift,-738.227982,12.9596408,738.3417269106883,739.389507,214950757000000.0,5.0699321e+16
RUN096,t100ns,x2-x18_channel-edge,114,10.4375,0.01875,channel-drift,-843.928295,18.5881229,844.1329785137841,845.195669,246066271000000.0,2.57889879e+16
RUN096,t100ns,x2-x18_channel-edge,115,10.328125,0.01875,channel-drift,-968.273438,30.17333,968.7434544705986,969.816691,280952623000000.0,1.29932241e+16
RUN096,t100ns,x2-x18_channel-edge,116,10.21875,0.01875,channel-drift,-1127.45988,52.3820899,1128.6760670590595,1129.7564,323714257000000.0,6461991050000000.0
RUN096,t100ns,x2-x18_channel-edge,117,10.109375,0.01875,channel-drift,-1336.42513,90.7607377,1339.5035048865552,1340.58779,380364073000000.0,3103022040000000.0
RUN096,t100ns,x2-x18_channel-edge,118,10.0,0.01875,channel-drift,-1609.38179,150.175092,1616.373194606002,1617.45863,454222821000000.0,1343269180000000.0
RUN096,t100ns,x2-x18_channel-edge,119,9.875,0.01875,channel-drift,-1864.14291,233.564078,1878.7179052309205,1879.80148,544857566000000.0,458900136000000.0
RUN096,t100ns,x2-x18_channel-edge,120,9.75,0.01875,channel-drift,-1946.27826,320.14597,1972.433143976208,1973.51167,619476145000000.0,115945137000000.0
RUN096,t100ns,x2-x18_channel-edge,121,9.625,0.01875,channel-drift,-1603.47566,339.662788,1639.0561313647463,1640.12665,596264634000000.0,20121285100000.0
RUN096,t100ns,x2-x18_channel-edge,122,9.5,0.01875,channel-drift,-854.880431,226.606804,884.4044295037424,885.465638,405448555000000.0,2366967290000.0
RUN096,t100ns,x2-x18_channel-edge,123,9.375,0.0375,channel-drift,-321.598633,132.181852,347.7034983223761,348.743063,190778596000000.0,155586438000.0
RUN096,t100ns,x2-x18_channel-edge,124,9.375,0.05625,channel-drift,-459.323884,227.696059,512.6635599464594,513.681692,252117430000000.0,105312864000.0
RUN096,t100ns,x2-x18_channel-edge,125,9.375,0.075,channel-drift,-602.066782,332.052457,687.5632655891183,688.566393,296811323000000.0,94457794500.0
RUN096,t100ns,x2-x18_channel-edge,126,9.375,0.09375,channel-drift,-725.130485,429.095381,842.5776321929454,843.569948,319919501000000.0,99361787000.0
RUN096,t100ns,x2-x18_channel-edge,127,9.25,0.1125,channel-drift,-296.345672,169.08254,341.18860274924657,342.198482,185143764000000.0,49764.5093
