metric,xmin,xmax,ymin,ymax,triangles,dx_min,dx_median,dx_p95,dx_max,dy_min,dy_median,dy_p95,dy_max
track,10.1,10.4,0.0,0.6,1980,0.014965949508987109,0.015000000000000568,0.015000000000000568,0.015000000000000568,0.005116069546984734,0.015384615384615385,0.016666666666666663,0.01666666666666669
gate_drain_edge,5.95,6.05,-0.2,-0.12,161,0.01994199520206763,0.019999999999999574,0.020000000000042206,0.020000000000042206,0.004530818393219754,0.0050000000000000044,0.00640754482034081,0.009061636786439453
channel_region5,0.975,1.025,0.0,0.15,135,0.019999999999999574,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.005116069546984734,0.009191811483663354,0.015743746048667923,0.016666666666666663
channel_n_d,13.975,14.025,0.0,0.15,67,0.04988649836329273,0.04988649836329273,0.05065513171367897,0.05065513171367897,0.005116069546984734,0.009191811483663354,0.01534820864095418,0.016666666666666663
substrate_uid,6.5,7.5,0.375,0.425,432,0.018170333077217826,0.018769461204953597,0.019340925518395835,0.019388337045856296,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385
uid_channel,6.5,7.5,0.175,0.225,432,0.018170333077217826,0.018769461204953597,0.019340925518395835,0.019388337045856296,0.015384615384615385,0.016025641025641024,0.01666666666666669,0.01666666666666669
