milestone,time_s,R094_PJ_W_per_um,R094_PGR_W_per_um,R094_PPT_W_per_um,R094_PTOT_W_per_um,R095_PJ_W_per_um,R095_PGR_W_per_um,R095_PPT_W_per_um,R095_PTOT_W_per_um,RUN095_total_over_RUN094,RUN095_GR_share,RUN095_PT_share,RUN095_component_closure_W_per_um
100ps,1e-10,0.437563222682,0.0,0.0,0.437563222682,0.438837923496,0.0160328672289,-4.74367832891e-05,0.454823353949,1.0394460283046774,0.03525075634242341,-0.0001042971581763129,-7.38908934039273e-12
400ps,4e-10,0.30087688598,0.0,0.0,0.30087688598,0.301157828913,0.000584923262796,2.53170275858e-05,0.301768069214,1.0029619531294247,0.0019383205927635749,8.38956475804149e-05,-1.0618173007514997e-11
1ns,1e-09,0.00598256096505,0.0,0.0,0.00598256096505,0.00597879088831,0.000100700147584,1.16108156294e-05,0.00609110185028,1.0181428799245162,0.0165323368512334,0.0019061929868840178,1.24340034796111e-12
10ns,1e-08,0.0109308220315,0.0,0.0,0.0109308220315,0.0109644682252,1.2303060146e-05,-5.10166787061e-07,0.0109762611259,1.0041569695553596,0.00112087895913566,-4.6479104424473944e-05,-7.34106005151336e-12
1us,1e-06,0.000668368058392,0.0,0.0,0.000668368058392,0.000668415591455,3.36660870577e-07,-7.69646072706e-10,0.000668751482789,1.000573672532949,0.0005034170080236234,-1.1508700803117824e-06,-1.0949563738343882e-13
100us,0.0001,0.000261243648874,0.0,0.0,0.000261243648874,0.00026117380551,6.36399162695e-08,-1.43076214654e-11,0.000261237431053,0.9999761991496184,0.00024360948587259958,-5.476865014224268e-08,6.564811628334555e-14
