Vd_applied_V,Vd_internal_V,Id_A_per_um,abs_Id_A_per_um,abs_Id_mA_per_mm,Field_GateRight,Field_FP_End,Field_DrainEdge,ImpactMax,Tmax,Tmin,JouleMax,HeatMax,Tsource,Tdrain,Tbottom
2427.0,2427.0,-1.756601708e-14,1.756601708e-14,1.7566017079999997e-08,354230.9063,353596.5254,-11344.90968,1319798704000000.0,300.0,300.0,2.8203296,2.8203296,300.0,300.0,300.0
2428.0,2428.0,-1.743645944e-14,1.743645944e-14,1.7436459439999998e-08,354036.4566,353164.6239,-11344.90766,1329911932000000.0,300.0,300.0,2.827879513,2.827879513,300.0,300.0,300.0
2429.0,2429.0,-1.734301109e-14,1.734301109e-14,1.7343011090000002e-08,353843.4685,352735.7339,-11344.90563,1340094856000000.0,300.0,300.0,2.835466917,2.835466917,300.0,300.0,300.0
2430.0,2430.0,-1.723362728e-14,1.723362728e-14,1.723362728e-08,353651.9291,352309.879,-11344.90361,1350348310000000.0,300.0,300.0,2.843092921,2.843092921,300.0,300.0,300.0
2431.0,2431.0,-1.691903455e-14,1.691903455e-14,1.691903455e-08,353461.8255,351887.0834,-11344.90159,1360673146000000.0,300.0,300.0,2.85075866,2.85075866,300.0,300.0,300.0
2432.0,2432.0,-1.769441461e-14,1.769441461e-14,1.769441461e-08,353273.1456,351467.3726,-11344.89957,1371070237000000.0,300.0,300.0,2.858465294,2.858465294,300.0,300.0,300.0
2433.0,2433.0,-1.761460423e-14,1.761460423e-14,1.761460423e-08,353085.8774,351050.7726,-11344.89755,1381540472000000.0,300.0,300.0,2.866214007,2.866214007,300.0,300.0,300.0
2434.0,2434.0,-2.645692379e-15,2.645692379e-15,2.645692379e-09,352900.0094,350637.3105,-11344.89554,1392084761000000.0,300.0,300.0,2.874006005,2.874006005,300.0,300.0,300.0
2435.0,2435.0,-1.730934195e-14,1.730934195e-14,1.7309341950000002e-08,352715.5305,350227.014,-11344.89352,1402704031000000.0,300.0,300.0,2.881842521,2.881842521,300.0,300.0,300.0
2436.0,2436.0,-1.7254612e-14,1.7254612e-14,1.7254612e-08,352532.4296,349819.9117,-11344.89151,1413399230000000.0,300.0,300.0,2.889724807,2.889724807,300.0,300.0,300.0
2437.0,2437.0,-2.142032907e-15,2.142032907e-15,2.1420329069999998e-09,352350.6965,349416.0326,-11344.8895,1424171324000000.0,300.0,300.0,2.89765414,2.89765414,300.0,300.0,300.0
2438.0,2438.0,-1.765493434e-14,1.765493434e-14,1.765493434e-08,352170.3208,349015.4061,-11344.88749,1435021301000000.0,300.0,300.0,2.905631818,2.905631818,300.0,300.0,300.0
2439.0,2439.0,-1.750743424e-14,1.750743424e-14,1.750743424e-08,351991.2927,348618.0624,-11344.88548,1445950166000000.0,300.0,300.0,2.913659161,2.913659161,300.0,300.0,300.0
2440.0,2440.0,-1.741963139e-14,1.741963139e-14,1.741963139e-08,351813.6026,348224.0318,-11344.88347,1456958946000000.0,300.0,300.0,2.921737507,2.921737507,300.0,300.0,300.0
2441.0,2441.0,-1.732651307e-14,1.732651307e-14,1.7326513069999998e-08,351637.2411,347833.3449,-11344.88146,1468137643000000.0,300.0,300.0,2.929868215,2.929868215,300.0,300.0,300.0
2442.0,2442.0,-1.693927157e-14,1.693927157e-14,1.693927157e-08,351462.1991,347446.0324,-11344.87946,1479680353000000.0,300.0,300.0,2.938052664,2.938052664,300.0,300.0,300.0
2443.0,2443.0,-1.775115355e-14,1.775115355e-14,1.775115355e-08,351288.4678,347062.1252,-11344.87746,1491311443000000.0,300.0,300.0,2.946292248,2.946292248,300.0,300.0,300.0
2444.0,2444.0,-1.760590301e-14,1.760590301e-14,1.7605903010000003e-08,351116.0385,346681.6541,-11344.87546,1503032063000000.0,300.0,300.0,2.954588379,2.954588379,300.0,300.0,300.0
2445.0,2445.0,-1.738351546e-14,1.738351546e-14,1.738351546e-08,350944.9028,346304.6497,-11344.87346,1514843386000000.0,300.0,300.0,2.962942485,2.962942485,300.0,300.0,300.0
2446.0,2446.0,-1.735805906e-14,1.735805906e-14,1.735805906e-08,350775.0525,345931.1424,-11344.87146,1526746605000000.0,300.0,300.0,2.971356007,2.971356007,300.0,300.0,300.0
2447.0,2447.0,-1.700165507e-14,1.700165507e-14,1.700165507e-08,350606.4794,345561.1622,-11344.86946,1538742930000000.0,300.0,300.0,2.9798304,2.9798304,300.0,300.0,300.0
2448.0,2448.0,-1.77374813e-14,1.77374813e-14,1.77374813e-08,350439.1755,345194.7387,-11344.86747,1550833596000000.0,300.0,300.0,2.988367129,2.988367129,300.0,300.0,300.0
2449.0,2449.0,-1.762974805e-14,1.762974805e-14,1.762974805e-08,350273.1331,344831.901,-11344.86548,1563019856000000.0,300.0,300.0,2.996967673,2.996967673,300.0,300.0,300.0
2450.0,2450.0,-1.742098465e-14,1.742098465e-14,1.742098465e-08,350108.3445,344472.6772,-11344.86349,1575302982000000.0,300.0,300.0,3.005633517,3.005633517,300.0,300.0,300.0
2451.0,2451.0,-2.327068871e-15,2.327068871e-15,2.3270688709999998e-09,349944.8019,344117.095,-11344.8615,1587684267000000.0,300.0,300.0,3.014366155,3.014366155,300.0,300.0,300.0
2452.0,2452.0,-1.698911036e-14,1.698911036e-14,1.698911036e-08,349782.4979,343765.1809,-11344.85951,1600165023000000.0,300.0,300.0,3.023167086,3.023167086,300.0,300.0,300.0
2453.0,2453.0,-1.773491966e-14,1.773491966e-14,1.7734919660000003e-08,349621.425,343416.9606,-11344.85753,1612746583000000.0,300.0,300.0,3.032037816,3.032037816,300.0,300.0,300.0
2454.0,2454.0,-1.763377511e-14,1.763377511e-14,1.763377511e-08,349461.5757,343072.4585,-11344.85555,1625430298000000.0,300.0,300.0,3.040979853,3.040979853,300.0,300.0,300.0
2455.0,2455.0,-1.740986583e-14,1.740986583e-14,1.740986583e-08,349302.9425,342731.6979,-11344.85357,1638217537000000.0,300.0,300.0,3.049994706,3.049994706,300.0,300.0,300.0
2456.0,2456.0,-1.725490991e-14,1.725490991e-14,1.725490991e-08,349145.518,342394.7008,-11344.85159,1651109688000000.0,300.0,300.0,3.059083886,3.059083886,300.0,300.0,300.0
2457.0,2457.0,-2.100855883e-15,2.100855883e-15,2.100855883e-09,348989.2948,342061.4876,-11344.84961,1664108160000000.0,300.0,300.0,3.068248902,3.068248902,300.0,300.0,300.0
2458.0,2458.0,-1.766016632e-14,1.766016632e-14,1.766016632e-08,348834.2655,341732.0773,-11344.84763,1677214376000000.0,300.0,300.0,3.077491259,3.077491259,300.0,300.0,300.0
2459.0,2459.0,-1.753598262e-14,1.753598262e-14,1.753598262e-08,348680.4223,341406.4875,-11344.84566,1690429779000000.0,300.0,300.0,3.086812461,3.086812461,300.0,300.0,300.0
2460.0,2460.0,-1.736831293e-14,1.736831293e-14,1.7368312929999997e-08,348527.7578,341084.7339,-11344.84369,1703755830000000.0,300.0,300.0,3.096214004,3.096214004,300.0,300.0,300.0
2461.0,2461.0,-1.720034386e-14,1.720034386e-14,1.720034386e-08,348376.2644,340766.8304,-11344.84172,1717194004000000.0,300.0,300.0,3.105697379,3.105697379,300.0,300.0,300.0
2462.0,2462.0,-1.687986868e-14,1.687986868e-14,1.6879868680000003e-08,348225.9342,340452.7892,-11344.83976,1730745797000000.0,300.0,300.0,3.115264068,3.115264068,300.0,300.0,300.0
2463.0,2463.0,-1.759298268e-14,1.759298268e-14,1.759298268e-08,348076.7594,340142.6207,-11344.83779,1744412719000000.0,300.0,300.0,3.124915545,3.124915545,300.0,300.0,300.0
2464.0,2464.0,-1.741461209e-14,1.741461209e-14,1.741461209e-08,347928.732,339836.3331,-11344.83583,1758196296000000.0,300.0,300.0,3.134653271,3.134653271,300.0,300.0,300.0
