run,accepted_rows_to_500ns,Id_peak_A_per_um,Id_peak_time_s,Tmax_peak_K,Tmax_peak_time_s,accepted_Tmin_min_K,accepted_Tmin_min_time_s,JouleMax_peak,JouleMax_peak_time_s
RUN096,347,0.0006711164427,3.1e-11,394.1522685,6.85934316173266e-10,298.7479857,7.26161477216456e-10,7766656875000.0,7.5e-12
RUN118,339,0.0006689374046,3.1e-11,392.9155126,6.96612963953479e-10,296.2101887,7.28063863436085e-10,7763239867000.0,7.5e-12
