milestone,time_s,RUN096_actual_time_s,RUN118_actual_time_s,RUN096_Id,RUN118_Id,RUN118_minus_RUN096_Id,RUN118_delta_vs_RUN096_Id_pct,RUN096_Tmax,RUN118_Tmax,RUN118_minus_RUN096_Tmax,RUN118_delta_vs_RUN096_Tmax_pct,RUN096_JouleMax,RUN118_JouleMax,RUN118_minus_RUN096_JouleMax,RUN118_delta_vs_RUN096_JouleMax_pct
50ns,5e-08,5e-08,5e-08,5.453764043e-06,5.446813375e-06,-6.950668000000298e-09,-0.12744717126003113,342.1811259,342.1265285,-0.05459739999997737,-0.015955701781145137,122695882900.0,122425550400.0,-270332500.0,-0.22032727880554326
100ns,1e-07,1e-07,1e-07,2.251180402e-06,2.249493174e-06,-1.6872280000001724e-09,-0.0749485913479564,332.3224853,332.284728,-0.037757300000009764,-0.011361644688567818,51118979120.0,51052893690.0,-66085430.0,-0.1292776795187245
500ns,5e-07,5e-07,5e-07,6.572656656e-07,6.572038402e-07,-6.18253999999981e-11,-0.009406455142235703,319.1241633,319.1057016,-0.018461700000045767,-0.005785115050249701,14913356710.0,14907749770.0,-5606940.0,-0.03759676717342009
