run,time_label,time_ns,path_kind,path_score_Acm-2,bottleneck_capacity_Acm-2,bottleneck_x_um,bottleneck_y_um,bottleneck_zone,bottleneck_Je_x_Acm-2,bottleneck_Je_y_Acm-2,bottleneck_Je_mag_Acm-2,bottleneck_Jtotal_Acm-2,bottleneck_electron_cm-3,bottleneck_impact_cm-3s-1,path_length_um,path_max_depth_um,path_channel_fraction,path_UID_fraction,path_substrate_fraction,path_Je_mag_p10_Acm-2,path_electron_p10_cm-3,path_impact_max_cm-3s-1,method,filter_size,endpoint_case,path_points
RUN096,t50ns,50.0,directed,589.426292,589.426292,8.38,0.1525,gate/UID-transition,-3182.416185,-594.186811,3237.411117068128,3238.119305,7712815050000000.0,0.0,16.395,0.205,0.5516925892040256,0.4483074107959744,0.0,1463.049681301775,202597459000000.0,1.28579937e+26,fixed-HEATMAP,1,x2-x18_channel-edge,
RUN096,t50ns,50.0,directed,584.340384,584.340384,8.38,0.1525,gate/UID-transition,-3182.416185,-594.186811,3237.411117068128,3238.119305,7712815050000000.0,0.0,16.39,0.205,0.5515558267236119,0.448444173276388,0.0,1462.8782843560944,202592714000000.0,1.28579937e+26,fixed-HEATMAP,3,x2-x18_channel-edge,
RUN096,t50ns,50.0,directed,572.842194,572.842194,8.38,0.1525,gate/UID-transition,-3182.416185,-594.186811,3237.411117068128,3238.119305,7712815050000000.0,0.0,16.375,0.205,0.5511450381679388,0.4488549618320611,0.0,1459.5865577505579,201988478000000.0,1.28579937e+26,fixed-HEATMAP,5,x2-x18_channel-edge,
RUN096,t50ns,50.0,directed,0.0,0.0,2.0,0.0025,contact-extension,-1561.574745,-1486.43952,2155.926281401951,4351.7739,2.55750746e+18,0.0,16.55,0.205,0.9389728096676736,0.061027190332326293,0.0,1493.857599175377,203568483000000.0,1.28579937e+26,fixed-HEATMAP,3,x2-x18_surface-only,
RUN096,t50ns,50.0,directed,584.340384,584.340384,8.38,0.1525,gate/UID-transition,-3182.416185,-594.186811,3237.411117068128,3238.119305,7712815050000000.0,0.0,14.325,0.205,0.5567190226876091,0.4432809773123909,0.0,1738.3513826507224,199037412500000.0,1.28579937e+26,fixed-HEATMAP,3,x3-x17_channel-edge,
RUN096,t100ns,100.0,directed,213.931737,213.931737,8.24,0.1525,gate/UID-transition,-1505.6746600000001,-215.955314,1521.0827983416796,1521.3499299999999,5802743245000000.0,0.0,16.335,0.215,0.5488215488215488,0.4511784511784512,0.0,626.1869318900779,83541628240000.0,4.99271104e+25,fixed-HEATMAP,1,x2-x18_channel-edge,
RUN096,t100ns,100.0,directed,213.765163,213.765163,8.24,0.1525,gate/UID-transition,-1505.6746600000001,-215.955314,1521.0827983416796,1521.3499299999999,5802743245000000.0,0.0,16.335,0.215,0.5488215488215488,0.4511784511784512,0.0,626.1869318900779,83541628240000.0,4.99271104e+25,fixed-HEATMAP,3,x2-x18_channel-edge,
RUN096,t100ns,100.0,directed,210.07208,210.07208,8.24,0.1525,gate/UID-transition,-1505.6746600000001,-215.955314,1521.0827983416796,1521.3499299999999,5802743245000000.0,0.0,16.385,0.21,0.5508086664632285,0.44919133353677143,0.0,599.9651947991441,81439858910000.0,4.99271104e+25,fixed-HEATMAP,5,x2-x18_channel-edge,
RUN096,t100ns,100.0,directed,0.0,0.0,2.0,0.0025,contact-extension,-612.80435,-601.122475,858.4156343689507,1726.11368,2.557371265e+18,0.0,16.57,0.215,0.9293904646952322,0.0706095353047677,0.0,627.5841480179754,85387537320000.0,4.99271104e+25,fixed-HEATMAP,3,x2-x18_surface-only,
RUN096,t100ns,100.0,directed,213.765163,213.765163,8.24,0.1525,gate/UID-transition,-1505.6746600000001,-215.955314,1521.0827983416796,1521.3499299999999,5802743245000000.0,0.0,14.345,0.215,0.5559428372255141,0.44405716277448587,0.0,674.5346706599303,79626920050000.0,4.99271104e+25,fixed-HEATMAP,3,x3-x17_channel-edge,
