RUN121_time_s,RUN121_Id,RUN121_ImpactMax,RUN121_HoleMax,RUN121_Tmax,RUN121_Tmin,RUN121_JouleMax,RUN121_HeatMax,RUN096_nearest_time_s,RUN096_Id,RUN096_ImpactMax,RUN096_HoleMax,RUN096_Tmax,RUN096_Tmin,RUN096_JouleMax,RUN096_HeatMax
1.05e-11,0.0001661943171,9.300636956e+23,2.186559193e+19,302.3629645,299.9998703,4585344549000.0,4581022545000.0,1.05e-11,0.0001442244263,9.539402607e+25,2.147704739e+19,302.8489018,299.999891,5280105470000.0,5275868858000.0
1.09e-11,0.0001565774769,1.069896335e+24,2.496341298e+19,302.5433764,299.9998635,4435273304000.0,4430893104000.0,1.09e-11,0.0001356391999,1.102957994e+26,2.458777895e+19,303.0491763,299.9998843,5149362950000.0,5145019997000.0
1.13e-11,0.0001492846009,1.223234488e+24,2.753602661e+19,302.6739712,299.9998574,4256841669000.0,4252544187000.0,1.13e-11,0.0001284156508,1.266023624e+26,2.717319352e+19,303.2002849,299.9998778,4983239564000.0,4978946973000.0
1.17e-11,0.0001425795436,1.391771587e+24,2.950066663e+19,302.7928306,299.9998519,4060844890000.0,4056712928000.0,1.17e-11,0.0001218409308,1.444881579e+26,2.915019105e+19,303.3373553,299.9998718,4794646316000.0,4790496703000.0
1.21e-11,0.0001369687761,1.578648485e+24,3.087466245e+19,302.9149823,299.9998469,3933174622000.0,3930800536000.0,1.21e-11,0.0001159641668,1.642562309e+26,3.053589453e+19,303.48141,299.9998665,4631134030000.0,4628801047000.0
1.25e-11,0.00013184146,1.797351715e+24,3.174699376e+19,303.0051778,299.9998424,3799412000000.0,3796932051000.0,1.25e-11,0.0001109619574,1.88601293e+26,3.141918676e+19,303.5900286,299.9998616,4511147073000.0,4508688488000.0
1.33e-11,0.0001222453867,2.355597217e+24,3.250050307e+19,303.1976387,299.9998344,3519939282000.0,3518553604000.0,1.33e-11,0.0001031600894,2.455857379e+26,3.219231389e+19,303.8255396,299.999853,4222528275000.0,4220044735000.0
1.38007339137409e-11,0.0001165721069,2.760146457e+24,3.257755844e+19,303.2868054,299.99983,3377050078000.0,3375772292000.0,1.4e-11,9.819544648e-05,3.087538613e+26,3.228189543e+19,303.9969373,299.9998464,4038041087000.0,4036283053000.0
1.4e-11,0.0001145362662,2.999534276e+24,3.256766776e+19,303.3297758,299.9998284,3312145778000.0,3310386393000.0,1.4e-11,9.819544648e-05,3.087538613e+26,3.228189543e+19,303.9969373,299.9998464,4038041087000.0,4036283053000.0
1.42e-11,0.0001126066974,3.181250087e+24,3.254448652e+19,303.3719621,299.9998268,3269712280000.0,3268352163000.0,1.42e-11,9.710297756e-05,3.28145266e+26,3.226257528e+19,304.0490393,299.9998447,3983768718000.0,3982426512000.0
1.46e-11,0.0001091682342,3.671168851e+24,3.247401629e+19,303.4462403,299.9998237,3157768177000.0,3156373081000.0,1.46e-11,9.525192009e-05,3.757849183e+26,3.219940354e+19,304.1417138,299.9998414,3882291483000.0,3880905169000.0
1.54e-11,0.0001041621544,4.909624085e+24,3.229276058e+19,303.5774651,299.999818,2983321609000.0,2982478280000.0,1.54e-11,9.308792059e-05,4.938665639e+26,3.203125259e+19,304.3184262,299.9998353,3698004245000.0,3697189506000.0
