run,time_label,time_ns,path_kind,path_score_Acm-2,bottleneck_capacity_Acm-2,bottleneck_x_um,bottleneck_y_um,bottleneck_zone,bottleneck_Je_x_Acm-2,bottleneck_Je_y_Acm-2,bottleneck_Je_mag_Acm-2,bottleneck_Jtotal_Acm-2,bottleneck_electron_cm-3,bottleneck_impact_cm-3s-1,path_length_um,path_max_depth_um,path_channel_fraction,path_UID_fraction,path_substrate_fraction,path_Je_mag_p10_Acm-2,path_electron_p10_cm-3,path_impact_max_cm-3s-1,method,filter_size
RUN121,prestrike,0.0,scalar,2.0199312227843898e-09,2.0199312227843898e-09,12.65,2.525,Fe-substrate,-1.70783739e-09,1.09169365e-09,2.02694439394186e-09,2.02725683e-09,524.020446,7278694.005,23.89,3.35,0.2515696944328171,0.07869401423189613,0.6697362913352867,2.0902330283222355e-09,499.4020795,21598601000.0,fixed-HEATMAP,1
RUN121,prestrike,0.0,directed,1.20686462e-13,0.0,13.1,0.35,UID/substrate-interface,-1.19941957e-09,1.23426346e-09,1.7210501426716643e-09,1.8154795e-09,347.235111,1847549.22,16.585,0.35,0.32830871269219186,0.40397949954778406,0.2677117877600241,8.219865460179178e-13,0.1091106389,6476518890.0,fixed-HEATMAP,1
