run,accepted_rows_to_500ns,Id_peak_A_per_um,Id_peak_time_s,Tmax_peak_K,Tmax_peak_time_s,Tmin_min_K,Tmin_min_time_s,JouleMax_peak,JouleMax_peak_time_s
RUN096,347,0.0006711164427,3.1e-11,394.1522685,6.85934316173266e-10,298.7479857,7.26161477216456e-10,7766656875000.0,7.5e-12
RUN121,341,0.0005469719392,3.3e-11,372.4318852,7.64145330246158e-10,299.9994867,8.72950814619915e-11,6396249090000.0,7.87421360022265e-12
