method,filter_size,endpoint_case,run,time_label,time_ns,path_kind,path_score_Acm-2,bottleneck_capacity_Acm-2,bottleneck_x_um,bottleneck_y_um,bottleneck_zone,bottleneck_Je_x_Acm-2,bottleneck_Je_y_Acm-2,bottleneck_Je_mag_Acm-2,bottleneck_Jtotal_Acm-2,bottleneck_electron_cm-3,bottleneck_impact_cm-3s-1,path_max_depth_um,path_channel_fraction,path_UID_fraction,path_substrate_fraction,path_points
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t50ns,50.0,scalar,27.755754917608847,27.755754917608847,11.6953125,0.01875,channel-drift,-27.86408515,0.026293845499999996,27.86409755604444,27.96986165,8670335395000.0,1.1701508785e+17,0.225,0.9501240834221407,0.049875916577859496,0.0,193
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t50ns,50.0,directed,27.7551267,27.7551267,11.8046875,0.01875,channel-drift,-29.546437150000003,-0.30160018850000003,29.547976427034786,29.6421247,9789623390000.0,3.45920686e+17,0.13125,1.0,0.0,0.0,187
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t50ns,50.0,scalar,0.0,0.0,2.0625,0.0,contact-extension,0.0,0.0,0.0,3665.169275,2.023831835e+18,0.0,0.0,1.0,0.0,0.0,183
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t50ns,50.0,directed,0.0,0.0,2.0,0.009375,contact-extension,-1019.253695,-1277.81406,1634.529555164065,3329.77277,2.032099335e+18,0.0,0.13125,1.0,0.0,0.0,190
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t50ns,50.0,scalar,27.755754917608847,27.755754917608847,11.6953125,0.01875,channel-drift,-27.86408515,0.026293845499999996,27.86409755604444,27.96986165,8670335395000.0,1.1701508785e+17,0.225,0.9431126336549709,0.056887366345029194,0.0,177
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t50ns,50.0,directed,27.7551267,27.7551267,11.8046875,0.01875,channel-drift,-29.546437150000003,-0.30160018850000003,29.547976427034786,29.6421247,9789623390000.0,3.45920686e+17,0.13125,1.0,0.0,0.0,171
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t100ns,100.0,scalar,10.797756590238745,10.797756590238745,11.6953125,0.01875,channel-drift,-10.901662,0.022797142099999997,10.9016858362334,10.938733299999999,3372220050000.0,4.62890592e+16,0.225,0.9349497310530587,0.06505026894694134,0.0,196
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t100ns,100.0,directed,10.7975804,10.7975804,11.8046875,0.01875,channel-drift,-11.43525915,-0.1056413774,11.435747108443667,11.46803775,3770564755000.0,1.338085672e+17,0.15,1.0,0.0,0.0,187
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t100ns,100.0,scalar,0.0,0.0,2.0625,0.0,contact-extension,0.0,0.0,0.0,1422.72278,2.023627545e+18,0.0,0.0,1.0,0.0,0.0,183
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t100ns,100.0,directed,0.0,0.0,2.0,0.009375,contact-extension,-404.6281465,-506.295075,648.1193099339666,1307.527225,2.031914555e+18,0.0,0.15,1.0,0.0,0.0,190
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t100ns,100.0,scalar,10.797756590238745,10.797756590238745,11.6953125,0.01875,channel-drift,-10.901662,0.022797142099999997,10.9016858362334,10.938733299999999,3372220050000.0,4.62890592e+16,0.225,0.9258549608957228,0.07414503910427726,0.0,180
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t100ns,100.0,directed,10.7975804,10.7975804,11.8046875,0.01875,channel-drift,-11.43525915,-0.1056413774,11.435747108443667,11.46803775,3770564755000.0,1.338085672e+17,0.15,1.0,0.0,0.0,171
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t500ns,500.0,scalar,3.5974898999134903,3.5974898999134903,11.6953125,0.01875,channel-drift,-3.66584305,0.01399263135,3.665869755046597,3.671696245,1123147425000.0,1.560158184e+16,0.225,0.9348108869916608,0.06518911300833918,0.0,194
native-vertex-Delaunay,1,x2-x18_channel-edge,RUN121,t500ns,500.0,directed,3.59746125,3.59746125,11.8046875,0.01875,channel-drift,-3.773028225,-0.02836491655,3.7731348445473745,3.7780506000000003,1232766730000.0,4.32750396e+16,0.15,0.9922403006443785,0.0077596993556213805,0.0,187
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t500ns,500.0,scalar,0.0,0.0,2.0625,0.0,contact-extension,0.0,0.0,0.0,380.8526605,2.023892835e+18,0.0,0.0,1.0,0.0,0.0,183
native-vertex-Delaunay,1,x2-x18_surface-only,RUN121,t500ns,500.0,directed,0.0,0.0,2.0,0.009375,contact-extension,-109.4554725,-136.6057835,175.04753795997,351.598563,2.032176475e+18,0.0,0.15,0.992267302179013,0.007732697820986954,0.0,190
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t500ns,500.0,scalar,3.5974898999134903,3.5974898999134903,11.6953125,0.01875,channel-drift,-3.66584305,0.01399263135,3.665869755046597,3.671696245,1123147425000.0,1.560158184e+16,0.225,0.9241076421431654,0.07589235785683458,0.0,178
native-vertex-Delaunay,1,x3-x17_channel-edge,RUN121,t500ns,500.0,directed,3.59746125,3.59746125,11.8046875,0.01875,channel-drift,-3.773028225,-0.02836491655,3.7731348445473745,3.7780506000000003,1232766730000.0,4.32750396e+16,0.15,0.9911358093841066,0.00886419061589339,0.0,171
