run,time_label,endpoint_case,sequence,x_um,y_um,zone,Je_x_Acm-2,Je_y_Acm-2,Je_mag_Acm-2,Jtotal_Acm-2,electron_cm-3,impact_cm-3s-1
RUN096,t50ns,x2-x18_channel-edge,32,14.375,0.01875,channel-drift,-192.071476,3.23334582,192.098689266768,808.92816,59500511500000.0,1.24863359e+24
RUN096,t50ns,x2-x18_channel-edge,33,14.265625,0.01875,channel-drift,-195.798735,2.78475784,195.81853718130893,727.614588,60522479800000.0,9.17213807e+23
RUN096,t50ns,x2-x18_channel-edge,34,14.15625,0.01875,channel-drift,-200.381855,2.39484155,200.39616533080326,653.436895,61833552800000.0,6.6820225e+23
RUN096,t50ns,x2-x18_channel-edge,35,14.046875,0.01875,channel-drift,-205.553069,2.03793214,205.563171173063,587.399088,63389419500000.0,4.83741578e+23
RUN096,t50ns,x2-x18_channel-edge,36,13.9375,0.01875,channel-drift,-211.160932,1.75133649,211.16819453366983,529.830874,65067313100000.0,3.48678194e+23
RUN096,t50ns,x2-x18_channel-edge,37,13.828125,0.01875,channel-drift,-217.024037,1.48210197,217.02909773121863,480.503593,66895543800000.0,2.50598585e+23
RUN096,t50ns,x2-x18_channel-edge,38,13.71875,0.01875,channel-drift,-222.950842,1.26958858,222.95445679257327,438.849006,68732572500000.0,1.79797887e+23
RUN096,t50ns,x2-x18_channel-edge,39,13.609375,0.01875,channel-drift,-228.812387,1.07275832,228.81490173293108,404.157701,70600341200000.0,1.28856918e+23
RUN096,t50ns,x2-x18_channel-edge,40,13.5,0.01875,channel-drift,-234.457785,0.916280274,234.45957544243473,375.603341,72396396200000.0,9.22625841e+22
RUN096,t50ns,x2-x18_channel-edge,41,13.390625,0.01875,channel-drift,-239.634089,0.745736626,239.6352493561314,352.220621,74128952700000.0,6.59437506e+22
RUN096,t50ns,x2-x18_channel-edge,42,13.28125,0.01875,channel-drift,-244.044451,0.596489296,244.04517996340687,333.008984,75631743300000.0,4.69798719e+22
RUN096,t50ns,x2-x18_channel-edge,43,13.171875,0.01875,channel-drift,-247.471982,0.436727251,247.47236735785287,317.077903,76885546400000.0,3.32890663e+22
RUN096,t50ns,x2-x18_channel-edge,44,13.0625,0.01875,channel-drift,-249.736727,0.295922338,249.73690232463176,303.62669,77774041400000.0,2.34042466e+22
RUN096,t50ns,x2-x18_channel-edge,45,12.953125,0.01875,channel-drift,-250.648192,0.135697506,250.648228732385,291.902834,78301072500000.0,1.62763466e+22
RUN096,t50ns,x2-x18_channel-edge,46,12.84375,0.01875,channel-drift,-250.068094,-0.00220360295,250.06809400970909,281.269277,78343719200000.0,1.11625492e+22
RUN096,t50ns,x2-x18_channel-edge,47,12.734375,0.01875,channel-drift,-248.014655,-0.136652199,248.0146926466102,271.305797,77938446800000.0,7.52602495e+21
RUN096,t50ns,x2-x18_channel-edge,48,12.625,0.01875,channel-drift,-244.610983,-0.233348919,244.6110943026589,261.75657,77060139900000.0,4.97478693e+21
RUN096,t50ns,x2-x18_channel-edge,49,12.515625,0.01875,channel-drift,-240.012781,-0.322246299,240.01299732729305,252.452482,75810806300000.0,3.21423104e+21
RUN096,t50ns,x2-x18_channel-edge,50,12.40625,0.01875,channel-drift,-234.430634,-0.364117529,234.43091677340016,243.328682,74185705000000.0,2.02442509e+21
RUN096,t50ns,x2-x18_channel-edge,51,12.296875,0.01875,channel-drift,-228.18438,-0.378730858,228.18469430057576,234.473098,72321133400000.0,1.23948331e+21
RUN096,t50ns,x2-x18_channel-edge,52,12.1875,0.01875,channel-drift,-221.659048,-0.33378338,221.6592993122803,226.077688,70280651500000.0,7.35983148e+20
RUN096,t50ns,x2-x18_channel-edge,53,12.078125,0.01875,channel-drift,-215.281991,-0.252174181,215.28213869418346,218.410506,68241293100000.0,4.22714687e+20
RUN096,t50ns,x2-x18_channel-edge,54,11.96875,0.01875,channel-drift,-209.69161,-0.0708828368,209.69162198039447,211.979684,66293073400000.0,2.34532528e+20
RUN096,t50ns,x2-x18_channel-edge,55,11.859375,0.01875,channel-drift,-206.260464,0.279039261,206.26065274890527,208.052174,64744896000000.0,1.25924645e+20
RUN096,t50ns,x2-x18_channel-edge,56,11.75,0.01875,channel-drift,-208.366188,1.07898371,208.36898163473802,209.92193,64145454200000.0,6.62275004e+19
RUN096,t50ns,x2-x18_channel-edge,57,11.640625,0.01875,channel-drift,-224.300629,2.8925891,224.3192796919094,225.823603,66056319700000.0,3.52437762e+19
RUN096,t50ns,x2-x18_channel-edge,58,11.53125,0.01875,channel-drift,-276.586186,7.6001287,276.6905857492863,278.281697,74096397200000.0,2.0342005e+19
RUN096,t50ns,x2-x18_channel-edge,59,11.421875,0.01875,channel-drift,-429.474292,20.5102612,429.9637639422577,431.732927,98717438400000.0,1.3874765e+19
RUN096,t50ns,x2-x18_channel-edge,60,11.3125,0.01875,channel-drift,-869.468483,57.3976174,871.3609639027434,873.364692,169605091000000.0,1.14873631e+19
RUN096,t50ns,x2-x18_channel-edge,61,11.203125,0.01875,channel-drift,-1433.6586,18.9499006,1433.7838331096882,1435.9922,373570283000000.0,7.63651188e+18
RUN096,t50ns,x2-x18_channel-edge,62,11.1757813,0.009375,channel-drift,-7901.77622,9.62587476,7901.782083076094,7903.99944,2427326180000000.0,2.92174518e+19
RUN096,t50ns,x2-x18_channel-edge,63,11.1621094,0.009375,channel-drift,-8220.26574,53.0278778,8220.436776232862,8222.78078,2557022680000000.0,2.6786818e+19
RUN096,t50ns,x2-x18_channel-edge,64,11.1552734,0.009375,channel-drift,-8305.5528,58.337653,8305.757677379312,8308.12653,2582615030000000.0,2.51007257e+19
RUN096,t50ns,x2-x18_channel-edge,65,11.1484375,0.009375,channel-drift,-8366.25639,58.7782813,8366.462864889105,8368.84842,2601540450000000.0,2.37767545e+19
