milestone,time_s,RUN096_Id,RUN121_Id,RUN121_minus_RUN096_Id,RUN121_delta_vs_RUN096_Id_pct,RUN096_ImpactMax,RUN121_ImpactMax,RUN121_minus_RUN096_ImpactMax,RUN121_delta_vs_RUN096_ImpactMax_pct,RUN096_HoleMax,RUN121_HoleMax,RUN121_minus_RUN096_HoleMax,RUN121_delta_vs_RUN096_HoleMax_pct,RUN096_Tmax,RUN121_Tmax,RUN121_minus_RUN096_Tmax,RUN121_delta_vs_RUN096_Tmax_pct,RUN096_Tmin,RUN121_Tmin,RUN121_minus_RUN096_Tmin,RUN121_delta_vs_RUN096_Tmin_pct,RUN096_JouleMax,RUN121_JouleMax,RUN121_minus_RUN096_JouleMax,RUN121_delta_vs_RUN096_JouleMax_pct,RUN096_HeatMax,RUN121_HeatMax,RUN121_minus_RUN096_HeatMax,RUN121_delta_vs_RUN096_HeatMax_pct
100ps,1e-10,0.0004383505145,0.0004057886254,-3.256188910000002e-05,-7.428276692486923,6.005535322e+28,3.797802882e+28,-2.2077324400000005e+28,-36.761626093721276,2.220605747e+19,2.222696848e+19,2.0911009999998976e+16,0.09416804413953095,325.9896072,318.1301723,-7.859434899999997,-2.410946461608543,299.9994803,299.9994952,1.4899999996487168e-05,4.966675271056431e-06,2012459680000.0,2663521514000.0,651061834000.0,32.35154674005691,2012309171000.0,2665434802000.0,653125631000.0,32.456525091292754
50ns,5e-08,5.453764043e-06,4.08296604e-06,-1.3707980030000001e-06,-25.134897516504097,2.977609286e+26,1.947008655e+25,-2.7829084205000002e+26,-93.46116811176549,2.402611368e+19,2.190329465e+19,-2.122819030000001e+18,-8.835465686517141,342.1811259,332.2487081,-9.932417799999996,-2.902678449571372,300.0000072,300.0000073,9.999996564147295e-08,3.333331388688521e-08,122695882900.0,98149548980.0,-24546333920.0,-20.005833398668994,122678294700.0,98144781990.0,-24533512710.0,-19.998250521817862
100ns,1e-07,2.251180402e-06,1.689163037e-06,-5.620173650000001e-07,-24.965452102403297,1.174447516e+26,8.08561918e+24,-1.0935913242000001e+26,-93.1153848342764,1.73619065e+19,1.613759467e+19,-1.224311829999999e+18,-7.0517130707966835,332.3224853,324.7359143,-7.586570999999992,-2.282894277572378,300.0000795,300.0000673,-1.2200000014672696e-05,-4.066665593160934e-06,51118979120.0,40973574410.0,-10145404710.0,-19.846649687944705,51112358940.0,40971918050.0,-10140440890.0,-19.839508683024597
500ns,5e-07,6.572656656e-07,5.375394559e-07,-1.1972620969999998e-07,-18.215801610556536,3.108374192e+25,2.521804966e+24,-2.8561936953999998e+25,-91.88706117657793,1.161361597e+19,1.134471781e+19,-2.6889816e+17,-2.3153698270599876,319.1241633,315.2053748,-3.918788500000005,-1.2279823813642232,300.0110941,300.0115695,0.00047540000002754823,0.0001584608067428661,14913356710.0,13055626990.0,-1857729720.0,-12.456818113619706,14911562290.0,13054141320.0,-1857420970.0,-12.45624659493677
