metric,xmin,xmax,ymin,ymax,triangles,dx_min,dx_median,dx_p95,dx_max,dy_min,dy_median,dy_p95,dy_max
track,10.1,10.4,0.0,0.6,640,0.035383311114323135,0.03598889417521356,0.03660471163441947,0.03660471163441947,0.005116069546984734,0.014948162212825841,0.040000000000000036,0.040000000000000036
gate_drain_edge,5.95,6.05,-0.2,-0.12,161,0.019999999999999574,0.020000000000042206,0.02017409695172212,0.02017409695172212,0.004530818393219754,0.0050000000000000044,0.00640754482034081,0.009061636786439453
channel_region5,0.975,1.025,0.0,0.15,135,0.019999999999999574,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.005116069546984734,0.009191811483663354,0.015743746048667923,0.016666666666666663
channel_n_d,13.975,14.025,0.0,0.15,67,0.05005631625831519,0.05005631625831519,0.05065513171367897,0.05065513171367897,0.005116069546984734,0.009191811483663354,0.01534820864095418,0.016666666666666663
substrate_uid,6.5,7.5,0.375,0.425,174,0.021836547812747575,0.023680640059580593,0.025487434475688353,0.025680374256359606,0.03879497542585991,0.039397487712929946,0.03999999999999998,0.03999999999999998
uid_channel,6.5,7.5,0.175,0.225,350,0.021836547812747575,0.023680640059580593,0.025487434475688353,0.025680374256359606,0.014548115784697502,0.016666666666666677,0.016736298953347495,0.016736298953347495
