layer,thickness_um,sample_x,min_intervals,interval_counts,normal_dy_max
barrier,0.02,0.75;1.25;1.75;3.0;5.0;10.25;14.25,4,8;8;8;4;4;8;8,0.005000000000000001
p-,0.05,2.1;3.0;3.9,10,10;10;10,0.0050000000000000044
p+,0.04999999999999999,2.1;3.0;3.9,10,10;10;10,0.0050000000000000044
