accepted_index,Vdrain_V,Idrain_A_per_um,abs_Idrain_A_per_um,accepted_step_V
110,460.0,9.344385112e-16,9.344385112e-16,5.0
111,465.0,9.418659132e-16,9.418659132e-16,5.0
112,470.0,8.725014427e-16,8.725014427e-16,5.0
113,475.0,8.101666503e-16,8.101666503e-16,5.0
114,480.0,8.972582404e-16,8.972582404e-16,5.0
115,485.0,7.674004579e-16,7.674004579e-16,5.0
116,490.0,8.427032406e-16,8.427032406e-16,5.0
117,495.0,8.378082843e-16,8.378082843e-16,5.0
118,500.0,8.368330578e-16,8.368330578e-16,5.0
119,505.0,8.305770674e-16,8.305770674e-16,5.0
120,510.0,7.507749798e-16,7.507749798e-16,5.0
121,515.0,8.756092322e-16,8.756092322e-16,5.0
122,520.0,7.624249379e-16,7.624249379e-16,5.0
123,525.0,8.383248244e-16,8.383248244e-16,5.0
124,530.0,8.713211372e-16,8.713211372e-16,5.0
125,535.0,8.963912957e-16,8.963912957e-16,5.0
126,540.0,8.863976856e-16,8.863976856e-16,5.0
127,545.0,8.206695473e-16,8.206695473e-16,5.0
128,550.0,7.116406294e-16,7.116406294e-16,5.0
129,555.0,8.216231865e-16,8.216231865e-16,5.0
130,560.0,6.875515691e-16,6.875515691e-16,5.0
131,565.0,7.243668424e-16,7.243668424e-16,5.0
132,570.0,7.403315773e-16,7.403315773e-16,5.0
133,575.0,6.862913044e-16,6.862913044e-16,5.0
134,580.0,8.395300848e-16,8.395300848e-16,5.0
135,585.0,7.223374664e-16,7.223374664e-16,5.0
136,590.0,7.772840593e-16,7.772840593e-16,5.0
137,595.0,7.798348109e-16,7.798348109e-16,5.0
138,600.0,6.930198833e-16,6.930198833e-16,5.0
139,605.0,6.97629974e-16,6.97629974e-16,5.0
140,610.0,8.549972764e-16,8.549972764e-16,5.0
141,615.0,7.842288563e-16,7.842288563e-16,5.0
142,620.0,6.649206856e-16,6.649206856e-16,5.0
143,625.0,8.347095614e-16,8.347095614e-16,5.0
144,630.0,7.078921298e-16,7.078921298e-16,5.0
145,635.0,8.631664169e-16,8.631664169e-16,5.0
146,640.0,7.59416018e-16,7.59416018e-16,5.0
147,645.0,6.559908097e-16,6.559908097e-16,5.0
148,650.0,8.358974656e-16,8.358974656e-16,5.0
149,655.0,7.254976698e-16,7.254976698e-16,5.0
150,660.0,8.593892494e-16,8.593892494e-16,5.0
151,665.0,7.014415085e-16,7.014415085e-16,5.0
152,670.0,7.240070258e-16,7.240070258e-16,5.0
153,675.0,7.00393058e-16,7.00393058e-16,5.0
154,680.0,8.339090191e-16,8.339090191e-16,5.0
155,685.0,8.487848923e-16,8.487848923e-16,5.0
156,690.0,7.271218959e-16,7.271218959e-16,5.0
157,695.0,6.745265884e-16,6.745265884e-16,5.0
158,700.0,6.850376885e-16,6.850376885e-16,5.0
159,705.0,9.447624066e-16,9.447624066e-16,5.0
160,710.0,1.018967002e-15,1.018967002e-15,5.0
161,715.0,1.039333899e-15,1.039333899e-15,5.0
162,720.0,8.82764721e-16,8.82764721e-16,5.0
163,725.0,9.260192174e-16,9.260192174e-16,5.0
164,730.0,1.170168808e-15,1.170168808e-15,5.0
