"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
18.8203, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1144.62, 12.094, 1.2381, 1.66466e+06, 7.15895e+12, 411.304, 64700.5, 2.3272e-08, -1143.17, -1146.12, 5e+15, 6.81177e+10, -1.65802e+06, 148626, 300, 12.094, 111.561, 1.2381, 1.2381, 5e+15, 2.1796e-08, 1.73919e-09, 0.450464, 2.3272e-08, -1.36999e-09, -2.17163e-08, -2.30863e-08, 1.0714e-09, 1.8628e-09, 2.9342e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.30863e-08, 2.9342e-09, 0, 5e+15, 6.40543, 52.0926, 0, 0
19.0156, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1177.09, 12.0311, 1.2381, 1.6734e+06, 7.89927e+12, 422.767, 67347.4, 2.42555e-08, -1175.64, -1178.59, 5e+15, 7.00217e+10, -1.66685e+06, 147847, 300, 12.0311, 111.653, 1.2381, 1.2381, 5e+15, 2.281e-08, 1.73539e-09, 0.450348, 2.42555e-08, -1.33634e-09, -2.27281e-08, -2.40644e-08, 1.10714e-09, 1.93119e-09, 3.03833e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.40644e-08, 3.03833e-09, 0, 5e+15, 6.19101, 55.0653, 0, 0
19.2109, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1209.73, 11.9666, 1.2381, 1.68164e+06, 8.71882e+12, 392.704, 70122.7, 2.52712e-08, -1208.29, -1211.24, 5e+15, 6.50861e+10, -1.67521e+06, 146867, 300, 11.9666, 111.841, 1.2381, 1.2381, 5e+15, 2.38686e-08, 1.65349e-09, 0.450234, 2.52712e-08, -1.30654e-09, -2.37852e-08, -2.50917e-08, 1.0134e-09, 1.99308e-09, 3.00648e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.50917e-08, 3.00648e-09, 0, 5e+15, 7.41722, 57.9899, 0, 0
19.4062, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1242.53, 11.9109, 1.2381, 1.68955e+06, 9.56232e+12, 403.607, 73021.9, 2.63491e-08, -1241.08, -1244.03, 5e+15, 6.6898e+10, -1.68321e+06, 146191, 300, 11.9109, 111.914, 1.2381, 1.2381, 5e+15, 2.49742e-08, 1.65067e-09, 0.450121, 2.63491e-08, -1.27584e-09, -2.48884e-08, -2.61642e-08, 1.04736e-09, 2.06853e-09, 3.11589e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.61642e-08, 3.11589e-09, 0, 5e+15, 7.13681, 60.9213, 0, 0
19.6016, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1275.48, 11.8535, 1.2381, 1.69703e+06, 1.0489e+13, 375.711, 76052, 2.74607e-08, -1274.04, -1276.99, 5e+15, 6.23107e+10, -1.69079e+06, 145334, 300, 11.8535, 112.073, 1.2381, 1.2381, 5e+15, 2.61243e-08, 1.57581e-09, 0.450009, 2.74607e-08, -1.24861e-09, -2.60367e-08, -2.72853e-08, 9.61329e-10, 2.13769e-09, 3.09902e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.72853e-08, 3.09902e-09, 0, 5e+15, 8.45242, 63.7964, 0, 0
19.7969, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1308.57, 11.8039, 1.2381, 1.70424e+06, 1.14404e+13, 386.137, 79199.2, 2.86294e-08, -1307.13, -1310.08, 5e+15, 6.4044e+10, -1.69808e+06, 144769, 300, 11.8039, 112.128, 1.2381, 1.2381, 5e+15, 2.73182e-08, 1.57407e-09, 0.449898, 2.86294e-08, -1.22063e-09, -2.72278e-08, -2.84484e-08, 9.93869e-10, 2.22076e-09, 3.21463e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.84484e-08, 3.21463e-09, 0, 5e+15, 8.10143, 66.6732, 0, 0
19.9922, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1341.81, 11.7524, 1.2381, 1.71106e+06, 1.24761e+13, 360.169, 82460.3, 2.98259e-08, -1340.37, -1343.32, 5e+15, 5.97671e+10, -1.70499e+06, 144041, 300, 11.7524, 112.26, 1.2381, 1.2381, 5e+15, 2.85493e-08, 1.50546e-09, 0.44979, 2.98259e-08, -1.19572e-09, -2.84567e-08, -2.96524e-08, 9.1469e-10, 2.2973e-09, 3.21199e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -2.96524e-08, 3.21199e-09, 0, 5e+15, 9.49658, 69.4928, 0, 0
20.1875, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1375.18, 11.708, 1.2381, 1.71768e+06, 1.3534e+13, 370.19, 85808.9, 3.10662e-08, -1373.73, -1376.69, 5e+15, 6.14332e+10, -1.71167e+06, 143598, 300, 11.708, 112.297, 1.2381, 1.2381, 5e+15, 2.98124e-08, 1.50482e-09, 0.449683, 3.10662e-08, -1.17017e-09, -2.97166e-08, -3.08868e-08, 9.46144e-10, 2.38769e-09, 3.33384e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.08868e-08, 3.33384e-09, 0, 5e+15, 9.07068, 72.3172, 0, 0
20.3828, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1408.67, 11.6613, 1.2381, 1.72398e+06, 1.4673e+13, 345.913, 89227.5, 3.2318e-08, -1407.23, -1410.19, 5e+15, 5.74296e+10, -1.71804e+06, 143011, 300, 11.6613, 112.403, 1.2381, 1.2381, 5e+15, 3.10955e-08, 1.44171e-09, 0.449578, 3.2318e-08, -1.14733e-09, -3.09972e-08, -3.21446e-08, 8.73012e-10, 2.47071e-09, 3.34372e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.21446e-08, 3.34372e-09, 0, 5e+15, 10.5364, 75.092, 0, 0
20.5781, 0, 0, 5e+15, 0, 8.94267e-22, 3.718e+18, 6.44e+20, 4.85, 4, 1442.29, 11.6209, 1.2381, 1.73013e+06, 1.58267e+13, 355.599, 92673, 3.35893e-08, -1440.85, -1443.8, 5e+15, 5.904e+10, -1.72424e+06, 142706, 300, 11.6209, 112.421, 1.2381, 1.2381, 5e+15, 3.23874e-08, 1.44222e-09, 0.449476, 3.35893e-08, -1.12396e-09, -3.22855e-08, -3.34095e-08, 9.03734e-10, 2.56694e-09, 3.47067e-09, 1.2e-08, 1.2e-08, 0, 0, 0, 0.27, 3.332, 0, -3.34095e-08, 3.47067e-09, 0, 5e+15, 10.0313, 77.8847, 0, 0
