"depth", "composition x", "composition y", "donor conc", "acceptor conc", "ni", "nc", "nv", "eg", "electron affinity", "potential", "e- mobility", "h+ mobility", "electric field", "impact gen rate", "electron conc", "hole conc", "cond. current density", "electron qfl", "hole qfl", "net doping", "recombination rate", "e field x", "e field y", "lattice temperature", "e- mobility x", "e- mobility y", "h+ mobility x", "h+ mobility y", "total doping", "h+ current density", "e- current density", "current flowlines", "total current density", "je- x", "jh+ x", "jtot x", "je- y", "jh+ y", "jtot y", "e- srh tno", "h+ srh tno", "joule heat power", "total heat power", "rec heat power", "heat conductivity", "heat capacity", "peltier-thomson heat power", "cond current x", "cond current y", "ionized acceptor concentration", "ionized donor concentration", "e- ionization coefficient", "h+ ionization coefficient", "acceptor trap dos #1", "acceptor trap ionized density #1"
20.9687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1511.94, 0, 0, 1.7367e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.7367e+06, 774.567, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
20.9727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1512.62, 0, 0, 1.73681e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.73681e+06, 774.273, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.1641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1545.9, 0, 0, 1.7426e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.7426e+06, 768.091, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1546.58, 0, 0, 1.74272e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.74272e+06, 768.069, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.3594, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1579.97, 0, 0, 1.74848e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.74848e+06, 768.626, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.3633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1580.66, 0, 0, 1.7486e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.7486e+06, 768.882, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.5547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1614.16, 0, 0, 1.75438e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.75438e+06, 776.361, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.5586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1614.85, 0, 0, 1.7545e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.7545e+06, 776.941, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1648.47, 0, 0, 1.76036e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.76036e+06, 792.48, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.7539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1649.16, 0, 0, 1.76048e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.76048e+06, 793.397, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.9453, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1682.89, 0, 0, 1.76649e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.76649e+06, 817.368, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.9492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1683.58, 0, 0, 1.76661e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.76661e+06, 818.678, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.1406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1717.43, 0, 0, 1.77283e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.77283e+06, 852.404, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.1445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1718.12, 0, 0, 1.77296e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.77296e+06, 854.129, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.3359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1752.1, 0, 0, 1.77946e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.77946e+06, 898.203, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.3398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1752.79, 0, 0, 1.7796e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.7796e+06, 900.406, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.5312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1786.9, 0, 0, 1.78648e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.78648e+06, 956.382, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.5352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1787.6, 0, 0, 1.78663e+06, 0, 0, 0, 0, 0, 0, 0, 0, -1.78663e+06, 959.096, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.014, 3.066, 0, 0, 0, 0, 0, 0, 0, 0, 0
