milestone,requested_time_s,RUN095_actual_time_s,RUN096_actual_time_s,RUN095_Id,RUN096_Id,RUN096_minus_RUN095_Id,RUN096_over_RUN095_Id,RUN095_ImpactMax,RUN096_ImpactMax,RUN096_minus_RUN095_ImpactMax,RUN096_over_RUN095_ImpactMax,RUN095_HoleMax,RUN096_HoleMax,RUN096_minus_RUN095_HoleMax,RUN096_over_RUN095_HoleMax,RUN095_Tmax,RUN096_Tmax,RUN096_minus_RUN095_Tmax,RUN096_over_RUN095_Tmax,RUN095_Tmin,RUN096_Tmin,RUN096_minus_RUN095_Tmin,RUN096_over_RUN095_Tmin,RUN095_JouleMax,RUN096_JouleMax,RUN096_minus_RUN095_JouleMax,RUN096_over_RUN095_JouleMax,RUN095_HeatMax,RUN096_HeatMax,RUN096_minus_RUN095_HeatMax,RUN096_over_RUN095_HeatMax
100ps,1e-10,1e-10,1e-10,0.0004383852877,0.0004383505145,-3.47732000000045e-08,0.9999206789074003,6.01173986e+28,6.005535322e+28,-6.204537999999999e+25,0.998967929726753,2.22059359e+19,2.220605747e+19,121569999998976.0,1.000005474662295,331.6906645,325.9896072,-5.701057300000002,0.982812126145926,299.9994802,299.9994803,1.0000002248489182e-07,1.000000000333334,2010688963000.0,2012459680000.0,1770717000.0,1.0008806518723603,2010536845000.0,2012309171000.0,1772326000.0,1.0008815187865905
400ps,4e-10,4e-10,4e-10,0.0002794209533,0.0002793758119,-4.514140000000258e-08,0.999838446618026,3.140571937e+28,3.138951205e+28,-1.6207319999997344e+25,0.9994839373106199,8.920435046e+19,8.91857786e+19,-1.857185999999795e+16,0.999791805445539,385.6935035,374.4694005,-11.224103000000014,0.9708989057421341,299.9998092,299.9998096,3.9999997625272954e-07,1.000000001333334,2335627136000.0,2344092279000.0,8465143000.0,1.0036243554758906,2335431645000.0,2343902945000.0,8471300000.0,1.0036272952017826
1ns,1e-09,1e-09,1e-09,2.778159424e-06,2.785278635e-06,7.1192109999998116e-09,1.002562563882583,3.567873023e+23,3.589689338e+23,2.1816314999999562e+21,1.0061146556672176,9.730958429e+19,9.731633649e+19,6752200000012288.0,1.0000693888484806,373.2564615,366.8318697,-6.424591799999973,0.9827877278421877,299.9999234,299.999929,5.600000008598727e-06,1.0000000186666715,53314184210.0,53326677520.0,12493310.0,1.000234333699092,53543285780.0,53555900720.0,12614940.0,1.0002356026496362
500ns,5e-07,5e-07,5e-07,6.572950165e-07,6.572656656e-07,-2.9350899999987576e-11,0.9999553459264665,3.108554144e+25,3.108374192e+25,-1.7995199999999507e+21,0.9999421107075303,1.161355994e+19,1.161361597e+19,56029999998976.0,1.0000048245327262,319.1904399,319.1241633,-0.06627659999998059,0.9997923603225061,300.0112557,300.0110941,-0.00016160000001264052,0.9999994613535428,14913357930.0,14913356710.0,-1220.0,0.9999999181941448,14911562980.0,14911562290.0,-690.0,0.9999999537271846
1us,1e-06,1e-06,1e-06,5.557247689e-07,5.557138903e-07,-1.0878599999990318e-11,0.9999804244823899,2.462504714e+25,2.462403031e+25,-1.0168299999975765e+21,0.9999587074902144,1.114118665e+19,1.114130548e+19,118830000001024.0,1.000010665829748,315.0976318,315.0676498,-0.029981999999961317,0.9999048485390745,300.0727875,300.0703342,-0.0024533000000133143,0.9999918243169584,12517112750.0,12517210680.0,97930.0,1.000007823689213,12515554030.0,12515652380.0,98350.0,1.0000078582218386
10us,1e-05,1e-05,1e-05,3.862477559e-07,3.862836529e-07,3.5896999999984827e-11,1.0000929377567938,1.227541765e+25,1.22761284e+25,7.107500000000522e+20,1.0000579002703016,1.012636857e+19,1.012707896e+19,710390000001024.0,1.000070152492978,322.4410282,322.3700538,-0.07097440000001143,0.9997798840910656,308.074397,308.0113123,-0.06308469999999033,0.9997952290076219,8379909056.0,8380727068.0,818012.0,1.0000976158565127,8378504796.0,8379323425.0,818629.0,1.0000977058580178
100us,0.0001,0.0001,0.0001,2.186873805e-07,2.190005015e-07,3.1312099999999975e-10,1.0014318201593713,4.912067971e+24,4.917798909e+24,5.730937999999269e+21,1.0011667057609612,8.550258045e+18,8.554309989e+18,4051944000000000.0,1.000473897276395,378.9245825,378.6807832,-0.24379929999997785,0.9993566020489051,370.8531969,370.602605,-0.25059190000001763,0.9993242827563716,4528230868.0,4534864283.0,6633415.0,1.0014649021203572,4527801706.0,4534435298.0,6633592.0,1.0014650800610834
